TotalSpecies,TotalSpecies_VegetatedSites,TotalSpecies_VegetatedSites_NoExotics,Site,latitude,longitude,Depth_ft,"Dominant sediment type (M=muck, S=Sand, R=Rock)",Rake,Filamentous algae
3,3,2,59,43.05119134,-89.42849247,10,M,3,
1,1,1,60,43.05182166,-89.42848662,10,M,1,
1,1,1,61,43.05245198,-89.42848077,10,M,3,
0,0,0,62,43.0530823,-89.42847492,9.5,M,,
2,2,2,63,43.05371262,-89.42846906,7,M,3,
0,0,0,64,43.05434293,-89.42846321,,,,
0,0,0,65,43.04898307,-89.42808323,,,,
2,2,1,66,43.04961339,-89.42807738,6.5,M,2,
2,2,1,67,43.05024371,-89.42807152,8.5,M,2,
0,0,0,68,43.05087403,-89.42806566,10,M,,
1,1,1,69,43.05150435,-89.42805981,10.5,M,1,
0,0,0,70,43.05213467,-89.42805395,10.5,M,,
1,1,1,71,43.05276499,-89.42804809,10,M,3,
3,3,2,72,43.05339531,-89.42804223,10,M,2,
3,3,3,73,43.05402563,-89.42803638,4,S,3,
0,0,0,74,43.05465595,-89.42803052,,,,
1,1,1,75,43.04929609,-89.42765058,5,M,3,
2,2,1,76,43.0499264,-89.42764472,9,M,3,
2,2,2,77,43.05055672,-89.42763886,10,M,1,
1,1,1,78,43.05118704,-89.427633,10.5,M,1,
1,1,1,79,43.05181736,-89.42762713,11,M,1,
1,1,1,80,43.05244768,-89.42762127,11,M,1,
1,1,1,81,43.053078,-89.42761541,10.5,M,1,
2,2,2,82,43.05370832,-89.42760955,9,M,3,
0,0,0,83,43.05433864,-89.42760369,,,,
0,0,0,84,43.04897878,-89.42722378,,,,
2,2,1,85,43.0496091,-89.42721792,5.5,S,2,
1,1,1,86,43.05023941,-89.42721205,10,M,2,
1,1,1,87,43.05086973,-89.42720619,10.5,M,1,
0,0,0,88,43.05150005,-89.42720032,11,M,,
0,0,0,89,43.05213037,-89.42719446,11.5,M,,
0,0,0,90,43.05276069,-89.42718859,11.5,M,,
0,0,0,91,43.05339101,-89.42718272,11,M,,
2,2,1,92,43.05402133,-89.42717686,9,M,3,
0,0,0,93,43.05465165,-89.42717099,,,,
0,0,0,94,43.04929178,-89.42679113,,,,
1,1,1,95,43.0499221,-89.42678526,8,M,3,
1,1,1,96,43.05055242,-89.42677939,10,M,2,
0,0,0,97,43.05118274,-89.42677352,11,M,,
0,0,0,98,43.05181306,-89.42676765,11.5,M,,
1,1,1,99,43.05244338,-89.42676178,12,M,1,
0,0,0,100,43.0530737,-89.42675591,11,M,,
2,2,1,101,43.05370402,-89.42675003,11,M,1,
2,2,2,102,43.05433434,-89.42674416,7.5,M,2,
0,0,0,103,43.04960479,-89.42635846,,,,
2,2,1,104,43.05023511,-89.42635259,8.5,M,3,
1,1,1,105,43.05086543,-89.42634671,10,M,1,
0,0,0,106,43.05149575,-89.42634084,12,M,,
0,0,0,107,43.05212607,-89.42633497,12,M,,
0,0,0,108,43.05275639,-89.42632909,12,M,,
1,1,0,109,43.0533867,-89.42632322,11,M,1,
0,0,0,110,43.05401702,-89.42631734,10,M,2,
4,4,3,111,43.05464734,-89.42631146,4,M,1,
0,0,0,112,43.0499178,-89.4259258,,,,
2,2,1,113,43.05054811,-89.42591992,9.5,M,3,
0,0,0,114,43.05117843,-89.42591404,12,M,,
0,0,0,115,43.05180875,-89.42590816,12,M,,
0,0,0,116,43.05243907,-89.42590228,12,M,,
0,0,0,117,43.05306939,-89.4258964,12,M,,
2,2,2,118,43.05369971,-89.42589052,11,M,1,
2,2,1,119,43.05433003,-89.42588464,9.5,M,3,
4,4,4,120,43.05496035,-89.42587876,3,M,1,
0,0,0,121,43.04960048,-89.42549901,,,,
5,5,4,122,43.0502308,-89.42549312,4,M,2,
1,1,1,123,43.05086112,-89.42548724,11,M,1,
0,0,0,124,43.05149144,-89.42548136,12,M,,
0,0,0,125,43.05212176,-89.42547547,12,M,,
0,0,0,126,43.05275207,-89.42546959,12,M,,
0,0,0,127,43.05338239,-89.42546371,12,M,,
1,1,1,128,43.05401271,-89.42545782,10.5,M,1,
3,3,2,129,43.05464303,-89.42545194,7.5,M,3,
0,0,0,130,43.04991348,-89.42506634,,,,
4,4,3,131,43.0505438,-89.42506045,7,M,3,
0,0,0,132,43.05117412,-89.42505456,12,M,,
0,0,0,133,43.05180444,-89.42504867,13,M,,
0,0,0,134,43.05243476,-89.42504278,12,M,,
0,0,0,135,43.05306507,-89.4250369,12,M,,
0,0,0,136,43.05369539,-89.42503101,11,M,,
2,2,1,137,43.05432571,-89.42502512,10,M,1,
5,5,5,138,43.05495603,-89.42501923,3,S,2,
0,0,0,139,43.04959616,-89.42463955,,,,
0,0,0,140,43.05022648,-89.42463366,,,,
2,2,1,141,43.0508568,-89.42462777,10,M,1,
0,0,0,142,43.05148712,-89.42462188,12.5,M,,
0,0,0,143,43.05211744,-89.42461598,12,M,,
0,0,0,144,43.05274776,-89.42461009,12,M,,
0,0,0,145,43.05337807,-89.4246042,12,M,,
1,1,0,146,43.05400839,-89.4245983,11,M,,
1,1,1,147,43.05463871,-89.42459241,9,M,3,
3,3,3,148,43.05526903,-89.42458652,2,S,3,
3,3,2,149,43.05053948,-89.42420098,4,M,3,
1,1,1,150,43.0511698,-89.42419508,12,M,1,
0,0,0,151,43.05180012,-89.42418919,12,M,,
0,0,0,152,43.05243043,-89.42418329,12,M,,
1,1,0,153,43.05306075,-89.42417739,12,M,1,
0,0,0,154,43.05369107,-89.42417149,11.5,M,,
2,2,1,155,43.05432139,-89.4241656,10.5,M,3,
7,7,6,156,43.05495171,-89.4241597,4,S,2,
0,0,0,157,43.05022216,-89.42377419,,,,
4,4,3,158,43.05085248,-89.42376829,5,M,3,
0,0,0,159,43.05148279,-89.42376239,12,M,,
0,0,0,160,43.05211311,-89.42375649,12,M,,
0,0,0,161,43.05274343,-89.42375059,12,M,,
0,0,0,162,43.05337375,-89.42374469,12,M,,
0,0,0,163,43.05400407,-89.42373879,11,M,,
2,2,1,164,43.05463439,-89.42373289,9.5,S,2,
4,4,3,165,43.0552647,-89.42372698,3,S,2,
5,5,4,166,43.05053515,-89.42334151,3,S,2,
1,1,1,167,43.05116547,-89.4233356,10,M,3,
0,0,0,168,43.05179579,-89.4233297,12.5,M,,
0,0,0,169,43.05242611,-89.42332379,12,M,,
0,0,0,170,43.05305643,-89.42331789,12,M,,
0,0,0,171,43.05368674,-89.42331198,12,M,,
0,0,0,172,43.05431706,-89.42330608,10.5,S,,
4,4,3,173,43.05494738,-89.42330017,7,S,2,
1,1,1,174,43.05084814,-89.42290882,9,S,3,
0,0,0,175,43.05147846,-89.42290291,12,M,,
0,0,0,176,43.05210878,-89.422897,11,M,,
1,1,1,177,43.0527391,-89.42289109,11.5,M,1,
0,0,0,178,43.05336942,-89.42288518,12,M,,
0,0,0,179,43.05399974,-89.42287927,11,M,,
4,4,4,180,43.05463006,-89.42287336,4,S,2,
7,7,6,181,43.05526037,-89.42286745,2,S,2,
1,1,1,182,43.05053082,-89.42248204,2,S,2,
2,2,1,183,43.05116114,-89.42247613,10,M,2,
0,0,0,184,43.05179145,-89.42247021,12,M,,
0,0,0,185,43.05242177,-89.4224643,11,M,1,
1,1,1,186,43.05305209,-89.42245838,11.5,M,,
0,0,0,187,43.05368241,-89.42245247,11,M,,
1,1,1,188,43.05431273,-89.42244655,11,M,1,
2,2,1,189,43.05494305,-89.42244064,9.5,S,2,
1,1,1,190,43.05557336,-89.42243472,1.5,S,1,
3,3,2,191,43.05084381,-89.42204935,5.5,M,3,
0,0,0,192,43.05147413,-89.42204343,11,M,,
0,0,0,193,43.05210444,-89.42203751,12,M,1,
1,1,1,194,43.05273476,-89.42203159,12,M,,
0,0,0,195,43.05336508,-89.42202567,11.5,M,,
0,0,0,196,43.0539954,-89.42201975,12,M,,
0,0,0,197,43.05462572,-89.42201383,10.5,S,,
3,3,3,198,43.05525604,-89.42200791,4,S,1,
2,2,2,199,43.05052648,-89.42162257,6,M,3,
2,2,1,200,43.0511568,-89.42161665,9.5,M,2,
1,1,1,201,43.05178711,-89.42161073,11,M,1,
0,0,0,202,43.05241743,-89.4216048,11,M,,
0,0,0,203,43.05304775,-89.42159888,12,M,,
1,1,1,204,43.05367807,-89.42159296,12,M,1,
0,0,0,205,43.05430839,-89.42158703,11,S,,
1,1,0,206,43.0549387,-89.42158111,10,S,1,
5,5,5,207,43.05556902,-89.42157518,2,S,2,
3,3,2,208,43.05020914,-89.4211958,2,S,1,
2,2,1,209,43.05083946,-89.42118987,7,S,3,
0,0,0,210,43.05146978,-89.42118395,10.5,M,,
0,0,0,211,43.0521001,-89.42117802,11,M,,
0,0,0,212,43.05273042,-89.42117209,11,M,,
1,1,1,213,43.05336074,-89.42116616,11,M,1,
0,0,0,214,43.05399105,-89.42116024,11,M,,
1,1,1,215,43.05462137,-89.42115431,10.5,S,1,
2,2,1,216,43.05525169,-89.42114838,9,S,3,
7,7,6,217,43.05588201,-89.42114245,2.5,S,2,
5,5,4,218,43.05052213,-89.4207631,4,M,3,
1,1,1,219,43.05115245,-89.42075717,9,S,3,
0,0,0,220,43.05178277,-89.42075124,11,M,,
0,0,0,221,43.05241308,-89.42074531,11,M,,
0,0,0,222,43.0530434,-89.42073938,11,M,,
0,0,0,223,43.05367372,-89.42073344,11,M,,
0,0,0,224,43.05430404,-89.42072751,11.5,M,,
2,2,1,225,43.05493436,-89.42072158,10,S,2,
2,2,1,226,43.05556468,-89.42071565,8,S,3,
3,3,3,227,43.05619499,-89.42070971,2,S,2,
4,4,3,228,43.05020479,-89.42033634,3,S,3,
2,2,1,229,43.05083511,-89.4203304,8,M,2,
0,0,0,230,43.05146543,-89.42032447,10,S,,
0,0,0,231,43.05209575,-89.42031853,11,M,,
0,0,0,232,43.05272607,-89.42031259,11,M,,
0,0,0,233,43.05335639,-89.42030666,11,M,,
0,0,0,234,43.0539867,-89.42030072,11,M,,
0,0,0,235,43.05461702,-89.42029478,10.5,M,,
3,3,2,236,43.05524734,-89.42028884,9,S,2,
2,2,1,237,43.05587766,-89.42028291,8,S,2,
3,3,2,238,43.05051778,-89.41990364,3.5,S,2,
2,2,1,239,43.05114809,-89.4198977,9,M,2,
1,1,0,240,43.05177841,-89.41989175,10,M,1,
1,1,1,241,43.05240873,-89.41988581,11,M,1,
0,0,0,242,43.05303905,-89.41987987,10.5,M,,
0,0,0,243,43.05366937,-89.41987393,11,M,,
0,0,0,244,43.05429969,-89.41986799,10.5,M,,
2,2,1,245,43.05493,-89.41986205,10,S,3,
3,3,2,246,43.05556032,-89.41985611,9,S,3,
1,1,0,247,43.05619064,-89.41985016,4.5,S,2,
1,1,1,248,43.05020044,-89.41947687,8.5,M,3,
2,2,1,249,43.05083076,-89.41947093,8,M,3,
2,2,1,250,43.05146107,-89.41946498,10,M,1,
1,1,1,251,43.05209139,-89.41945904,10,S,2,
0,0,0,252,43.05272171,-89.41945309,10.5,M,,
0,0,0,253,43.05335203,-89.41944715,10.5,M,,
0,0,0,254,43.05398235,-89.4194412,10,M,,
0,0,0,255,43.05461266,-89.41943526,10,M,,
1,1,1,256,43.05524298,-89.41942931,10,M,2,
3,3,2,257,43.0558733,-89.41942336,8,S,2,
6,6,4,258,43.05650362,-89.41941742,3,M,3,
3,3,2,259,43.0498831,-89.41905012,3.5,M,2,
2,2,1,260,43.05051342,-89.41904417,7,M,3,
3,3,1,261,43.05114373,-89.41903822,9,M,3,
3,3,2,262,43.05177405,-89.41903227,9.5,S,2,
1,1,1,263,43.05240437,-89.41902632,10.5,M,1,
0,0,0,264,43.05303469,-89.41902037,10.5,M,1,
0,0,0,265,43.05366501,-89.41901442,,,,
0,0,0,266,43.05429533,-89.41900847,10,M,,
0,0,0,267,43.05492564,-89.41900252,,,,
2,2,1,268,43.05555596,-89.41899657,9,M,1,
3,3,2,269,43.05618628,-89.41899062,7.5,M,3,
5,5,4,270,43.0568166,-89.41898467,3,S,2,
1,1,1,271,43.05019608,-89.41861741,9.5,M,2,
2,2,1,272,43.05082639,-89.41861146,8.5,M,3,
1,1,1,273,43.05145671,-89.4186055,9,M,2,
3,3,1,274,43.05208703,-89.41859955,9.5,M,2,
1,1,1,275,43.05271735,-89.4185936,10,M,2,
1,1,1,276,43.05334767,-89.41858764,10,M,2,
1,1,0,277,43.05397798,-89.41858169,2,S,2,
2,2,1,278,43.0546083,-89.41857573,10,M,2,
2,2,1,279,43.05523862,-89.41856978,10,M,1,
1,1,0,280,43.05586894,-89.41856382,9,M,2,
2,2,1,281,43.05649925,-89.41855787,6,M,3,
0,0,0,282,43.05712957,-89.41855191,,,,
3,3,2,283,43.05050905,-89.4181847,9,M,3,
2,2,1,284,43.05113937,-89.41817874,9,M,2,
1,1,0,285,43.05176969,-89.41817278,10,M,1,
2,2,1,286,43.0524,-89.41816683,10,M,1,
0,0,0,287,43.05303032,-89.41816087,10,M,,
1,1,1,288,43.05366064,-89.41815491,10,M,1,
2,2,1,289,43.05429096,-89.41814895,10,M,1,
1,1,1,290,43.05492128,-89.41814299,10,M,1,
1,1,1,291,43.05555159,-89.41813703,10,S,1,
1,1,1,292,43.05618191,-89.41813107,9,M,3,
3,3,2,293,43.05681223,-89.41812511,4,S,2,
0,0,0,294,43.05744255,-89.41811915,,,,
0,0,0,295,43.05807286,-89.41811319,,,,
0,0,0,296,43.05019171,-89.41775795,12.5,M,,
2,2,1,297,43.05082202,-89.41775199,8,M,3,
2,2,2,298,43.05145234,-89.41774602,9,M,1,
3,3,2,299,43.05208266,-89.41774006,8,M,2,
1,1,1,300,43.05271298,-89.4177341,10,M,1,
1,1,1,301,43.0533433,-89.41772813,9.5,M,3,
2,2,1,302,43.05397361,-89.41772217,10,M,1,
1,1,1,303,43.05460393,-89.41771621,10,M,1,
1,1,1,304,43.05523425,-89.41771024,10.5,M,1,
2,2,1,305,43.05586457,-89.41770428,9.5,M,1,
2,2,1,306,43.05649488,-89.41769832,8,M,2,
5,5,4,307,43.0571252,-89.41769235,3.5,S,2,
0,0,0,308,43.05775552,-89.41768639,,,,
0,0,0,309,43.05838584,-89.41768042,,,,
0,0,0,310,43.05901615,-89.41767446,,,,
0,0,0,311,43.05050468,-89.41732523,12,M,,
2,2,1,312,43.051135,-89.41731927,8.5,M,3,
1,1,0,313,43.05176531,-89.4173133,9.5,M,2,
1,1,1,314,43.05239563,-89.41730733,9.5,M,2,
0,0,0,315,43.05302595,-89.41730136,10.5,M,,
2,2,1,316,43.05365627,-89.4172954,9.5,M,1,
2,2,1,317,43.05428658,-89.41728943,10,M,2,
0,0,0,318,43.0549169,-89.41728346,10.5,M,,
1,1,1,319,43.05554722,-89.41727749,10,M,1,
2,2,1,320,43.05617754,-89.41727152,9,M,3,
2,2,1,321,43.05680786,-89.41726556,7,M,3,
2,2,1,322,43.05743817,-89.41725959,4,M,2,
0,0,0,323,43.05806849,-89.41725362,,,,
1,1,1,324,43.05018733,-89.41689848,9.5,M,3,
2,2,1,325,43.05081765,-89.41689251,8.5,M,2,
3,3,1,326,43.05144797,-89.41688654,9,M,2,
1,1,1,327,43.05207828,-89.41688057,9,M,1,
2,2,1,328,43.0527086,-89.4168746,9.5,M,3,
0,0,0,329,43.05333892,-89.41686863,10,M,,
0,0,0,330,43.05396924,-89.41686265,10,M,,
0,0,0,331,43.05459955,-89.41685668,10,M,,
2,2,2,332,43.05522987,-89.41685071,11,M,1,
0,0,0,333,43.05586019,-89.41684474,10,M,,
2,2,1,334,43.05649051,-89.41683876,8.5,M,3,
3,3,2,335,43.05712082,-89.41683279,6,M,3,
0,0,0,336,43.05775114,-89.41682682,,,,
0,0,0,337,43.05901178,-89.41681487,,,,
2,2,1,338,43.0505003,-89.41646577,11,M,1,
2,2,1,339,43.05113062,-89.41645979,7,M,3,
2,2,1,340,43.05176093,-89.41645381,8,M,3,
2,2,1,341,43.05239125,-89.41644784,10.5,M,2,
2,2,1,342,43.05302157,-89.41644186,9,M,2,
1,1,1,343,43.05365189,-89.41643589,10.5,M,1,
2,2,1,344,43.05428221,-89.41642991,10.5,M,1,
1,1,1,345,43.05491252,-89.41642393,11,M,1,
1,1,1,346,43.05554284,-89.41641795,11,M,1,
1,1,1,347,43.05617316,-89.41641198,9.5,M,1,
2,2,1,348,43.05680347,-89.416406,8,M,3,
2,2,1,349,43.05743379,-89.41640002,5,M,3,
0,0,0,350,43.05806411,-89.41639404,,,,
0,0,0,351,43.05081327,-89.41603304,11.5,M,1,
2,2,1,352,43.05144358,-89.41602706,8.5,M,3,
2,2,1,353,43.0520739,-89.41602108,8.5,M,3,
2,2,2,354,43.05270422,-89.4160151,10,M,1,
2,2,1,355,43.05333454,-89.41600912,9.5,M,1,
0,0,0,356,43.05396485,-89.41600314,10,M,,
0,0,0,357,43.05459517,-89.41599716,11,M,,
0,0,0,358,43.05522549,-89.41599118,11,M,,
0,0,0,359,43.05585581,-89.41598519,10,M,,
3,3,2,360,43.05648612,-89.41597921,9,M,3,
4,4,3,361,43.05711644,-89.41597323,7,M,3,
3,3,2,362,43.05774676,-89.41596725,4,S,3,
1,1,1,363,43.05900739,-89.41595528,,,,
1,1,1,364,43.05049591,-89.4156063,12,M,2,
2,2,1,365,43.05112623,-89.41560031,8,M,3,
2,2,1,366,43.05175655,-89.41559433,8.5,M,3,
2,2,1,367,43.05238687,-89.41558834,8.5,M,3,
1,1,1,368,43.05301718,-89.41558236,10.5,M,1,
1,1,1,369,43.0536475,-89.41557637,10,M,2,
2,2,0,370,43.05427782,-89.41557039,10,M,1,
1,1,1,371,43.05490814,-89.4155644,11,M,1,
1,1,1,372,43.05553845,-89.41555842,11,M,1,
0,0,0,373,43.05616877,-89.41555243,10,M,,
1,1,1,374,43.05679909,-89.41554644,9,M,3,
2,2,1,375,43.05742941,-89.41554046,5,M,2,
2,2,1,376,43.05080888,-89.41517357,8.5,M,3,
2,2,1,377,43.05143919,-89.41516758,8,M,2,
2,2,1,378,43.05206951,-89.41516159,8.5,M,3,
1,1,1,379,43.05269983,-89.4151556,8.5,M,2,
2,2,1,380,43.05333015,-89.41514961,9,M,3,
1,1,1,381,43.05396046,-89.41514362,9,M,1,
0,0,0,382,43.05459078,-89.41513763,10.5,M,,
0,0,0,383,43.0552211,-89.41513164,11,M,,
1,1,1,384,43.05585142,-89.41512565,10.5,M,1,
2,2,1,385,43.05648173,-89.41511966,9,M,1,
2,2,1,386,43.05711205,-89.41511367,7,M,3,
1,1,0,387,43.05774237,-89.41510768,4,S,2,
0,0,0,388,43.059003,-89.4150957,,,,
3,3,2,389,43.05049152,-89.41474683,6,S,3,
1,1,0,390,43.05112184,-89.41474084,7.5,M,3,
2,2,1,391,43.05175216,-89.41473484,8,M,2,
2,2,1,392,43.05238247,-89.41472885,8,M,3,
1,1,1,393,43.05301279,-89.41472286,8,M,3,
1,1,1,394,43.05364311,-89.41471686,9,M,2,
2,2,1,395,43.05427343,-89.41471087,10,M,1,
0,0,0,396,43.05490374,-89.41470487,11,M,,
0,0,0,397,43.05553406,-89.41469888,11,M,,
2,2,2,398,43.05616438,-89.41469288,10,M,2,
1,1,1,399,43.0567947,-89.41468689,8,M,3,
2,2,1,400,43.05742501,-89.41468089,4,M,3,
0,0,0,401,43.05080448,-89.4143141,,,,
0,0,0,402,43.0514348,-89.4143081,,,,
3,3,2,403,43.05206512,-89.4143021,8,M,2,
2,2,1,404,43.05269543,-89.41429611,9,M,3,
2,2,1,405,43.05332575,-89.41429011,9,M,3,
2,2,1,406,43.05395607,-89.41428411,9.5,M,1,
0,0,0,407,43.05458639,-89.41427811,10.5,M,,
0,0,0,408,43.0552167,-89.41427211,11,M,,
1,1,0,409,43.05584702,-89.41426611,10.5,M,1,
2,2,1,410,43.05647734,-89.41426011,9,M,3,
2,2,1,411,43.05710765,-89.41425411,8,M,3,
4,4,3,412,43.05773797,-89.41424811,3,S,2,
0,0,0,413,43.05962892,-89.41423011,,,,
3,3,3,414,43.05048712,-89.41388736,3,M,3,
0,0,0,415,43.05111744,-89.41388136,,,,
2,2,1,416,43.05174776,-89.41387536,8,M,3,
2,2,1,417,43.05237807,-89.41386936,8,M,2,
2,2,1,418,43.05300839,-89.41386335,9,M,2,
2,2,1,419,43.05363871,-89.41385735,9,M,3,
1,1,1,420,43.05426903,-89.41385135,10.5,M,2,
1,1,1,421,43.05489934,-89.41384535,11,M,1,
0,0,0,422,43.05552966,-89.41383934,10,M,,
3,3,2,423,43.05615998,-89.41383334,10,M,3,
4,4,2,424,43.0567903,-89.41382733,8,M,2,
2,2,1,425,43.05742061,-89.41382133,6,M,3,
0,0,0,426,43.05080008,-89.41345463,,,,
4,4,3,427,43.0514304,-89.41344862,7,M,3,
2,2,1,428,43.05206071,-89.41344261,8,M,3,
2,2,1,429,43.05269103,-89.41343661,8.5,M,2,
1,1,1,430,43.05332135,-89.4134306,9,M,3,
1,1,1,431,43.05395167,-89.41342459,9,M,2,
1,1,1,432,43.05458198,-89.41341859,10,M,1,
0,0,0,433,43.0552123,-89.41341258,11,M,,
0,0,0,434,43.05584262,-89.41340657,11,M,,
2,2,1,435,43.05647294,-89.41340056,9,M,3,
3,3,2,436,43.05710325,-89.41339455,7,S,3,
5,5,4,437,43.05773357,-89.41338854,3.5,M,2,
0,0,0,438,43.0589942,-89.41337653,,,,
0,0,0,439,43.05048272,-89.4130279,,,,
0,0,0,440,43.05111303,-89.41302189,,,,
2,2,1,441,43.05174335,-89.41301588,7,M,3,
3,3,2,442,43.05237367,-89.41300986,8.5,M,3,
3,3,2,443,43.05300399,-89.41300385,8.5,M,3,
1,1,1,444,43.0536343,-89.41299784,9,M,3,
1,1,1,445,43.05426462,-89.41299183,10,M,2,
1,1,1,446,43.05489494,-89.41298582,10.5,M,1,
0,0,0,447,43.05552526,-89.41297981,11,M,,
2,2,1,448,43.05615557,-89.41297379,9,M,3,
2,2,1,449,43.05678589,-89.41296778,7,M,3,
2,2,1,450,43.05741621,-89.41296177,6,S,3,
0,0,0,451,43.05079567,-89.41259516,,,,
3,3,2,452,43.05142599,-89.41258914,6,M,3,
2,2,1,453,43.05205631,-89.41258313,7.5,M,3,
3,3,2,454,43.05268662,-89.41257711,9,M,3,
1,1,1,455,43.05331694,-89.41257109,9,M,3,
2,2,1,456,43.05394726,-89.41256508,9,M,3,
2,2,1,457,43.05457757,-89.41255906,9,M,2,
2,2,1,458,43.05520789,-89.41255305,10,M,1,
2,2,1,459,43.05583821,-89.41254703,9.5,M,3,
1,1,1,460,43.05646853,-89.41254101,8,M,3,
2,2,1,461,43.05709884,-89.41253499,6,M,3,
9,9,9,462,43.05772916,-89.41252898,3.5,S,2,
0,0,0,463,43.05898979,-89.41251694,,,,
0,0,0,464,43.05047831,-89.41216843,,,,
0,0,0,465,43.05110862,-89.41216241,,,,
0,0,0,466,43.05173894,-89.41215639,,,,
0,0,0,467,43.05236926,-89.41215037,,,,
2,2,1,468,43.05299958,-89.41214435,8,M,2,
2,2,1,469,43.05362989,-89.41213833,8,M,3,
2,2,1,470,43.05426021,-89.41213231,8,M,3,
2,2,1,471,43.05489053,-89.41212629,8,M,3,
2,2,1,472,43.05552084,-89.41212027,9,M,3,
2,2,1,473,43.05615116,-89.41211425,8,M,3,
2,2,1,474,43.05678148,-89.41210823,7,M,3,
3,3,2,475,43.05741179,-89.4121022,4.5,S,2,
0,0,0,476,43.05079126,-89.41173569,,,,
0,0,0,477,43.05142157,-89.41172966,,,,
3,3,2,478,43.05205189,-89.41172364,6,M,3,
3,3,2,479,43.05268221,-89.41171761,7,M,3,
3,3,2,480,43.05331253,-89.41171159,7,M,3,
2,2,1,481,43.05394284,-89.41170556,7,M,3,
3,3,2,482,43.05457316,-89.41169954,7,M,3,
2,2,1,483,43.05520348,-89.41169351,7.5,M,3,
1,1,1,484,43.05583379,-89.41168749,8,M,3,
3,3,2,485,43.05646411,-89.41168146,7,M,3,
4,4,3,486,43.05709443,-89.41167544,5,M,2,
0,0,0,487,43.05772474,-89.41166941,,,,
0,0,0,488,43.05047389,-89.41130897,,,,
0,0,0,489,43.05110421,-89.41130294,,,,
0,0,0,490,43.05173452,-89.41129691,,,,
0,0,0,491,43.05236484,-89.41129088,,,,
3,3,2,492,43.05299516,-89.41128485,6,S,3,
2,2,1,493,43.05362547,-89.41127882,6.5,M,3,
0,0,0,494,43.05425579,-89.41127279,,,,
0,0,0,495,43.05488611,-89.41126676,,,,
2,2,1,496,43.05551642,-89.41126073,7,M,3,
3,3,2,497,43.05614674,-89.4112547,7,M,3,
