sampledate,site,temp,ph,dic,bicarbonate,carbonate,alkalinity_calculated
2023-04-27,3,10.8,8.45,48.56,241.98789750082054,2.227956797459564,4041.04023722944
2023-05-04,3,12.6,8.56,45.77,227.91767983673486,2.8409031376303435,3831.325675422069
2023-05-17,3,16.1,8.13,41.71,206.89298956865036,1.0496939011317004,3426.384774844508
2022-06-01,4,21.7,8.82,47.94,235.9194250023936,6.690107213680057,4094.5908001630137
2022-06-06,4,21.3,8.81,46.425,228.64130415672653,6.280118794882681,3961.3710008057365
2022-06-09,4,20.5,8.62,46.425,230.46007893585121,4.014090622390542,3913.7234611568956
2022-06-13,4,21.6,8.78,44.91,221.49035223515756,5.7156225560059,3825.144372575227
2022-06-16,4,23.9,8.68,41.445,205.0948992072621,4.417632988462433,3512.9517258298133
2022-06-20,4,23.5,8.82,37.98,186.71401550744832,5.504944668867531,3249.4551755463353
2022-06-23,4,26.1,8.74,39.34,193.98442711228552,5.017589249999137,3352.4556690434147
2022-06-28,4,25,8.73,40.7,200.8876759686654,4.966692915970598,3463.283772646404
2022-07-01,4,25.4,8.67,37.595,186.00836770780654,4.038062969080894,3187.924351809906
2022-07-05,4,27.1,8.91,37.595,183.2397063302564,7.149250420557467,3251.004000700649
2022-07-07,4,27,8.93,34.49,167.8367377256022,6.84362760836252,2988.7605258278068
2022-07-11,4,24.9,8.55,40.46,200.95438195546393,3.2758527919939877,3406.151200846835
2022-07-13,4,24.4,8.1,46.43,230.4080265758873,1.319033976403259,3821.292556610592
2022-07-18,4,27.1,8.93,41.59,202.37205136807634,8.267828443681442,3602.295961457016
2022-07-21,4,26.4,8.78,36.75,180.8023522618411,5.158325776568773,3141.8427695942096
2022-07-25,4,25.9,8.54,36.1,179.29579560212883,2.91453909017196,3039.34433855629
2022-07-28,4,26.5,8.96,35.45,172.11665464826345,7.447012476150081,3079.33438333892
2022-08-02,4,25.8,8.84,35.45,173.82518813008392,5.626586526193874,3043.7613098786696
2022-08-04,4,25,8.62,35.45,175.7292892995207,3.372548214033879,2996.6197138609327
2022-08-12,4,24.7,8.92,35.45,172.94369750075754,6.581893061570863,3061.9392239833564
2022-08-16,4,23.9,8.77,35.45,174.72127055186883,4.629995321024772,3023.2663114207467
2022-08-18,4,24.9,8.94,35.45,172.63508050520107,6.908057573174357,3068.2727691258237
2022-09-09,4,23.9,8.88,35.39,173.2654903382788,5.9148923494722405,3043.810519795543
2022-09-23,4,19.1,8.3,35.39,176.19502847374997,1.4221433472241087,2936.2950925409164
2022-10-19,4,8.1,8.35,42.15,209.8490881675837,1.4194724630405755,3487.041931109361
2022-10-28,4,10.8,8.43,41.67,207.6414787971963,1.825690821198692,3464.6950907185815
2023-01-23,4,2.3,8.52,46.03,229.4646963200224,1.9125967033384699,3824.877383751576
2023-02-10,4,2.3,8.16,51.47,254.33989805651169,0.9253840676073778,4199.379787438038
2023-02-17,4,2.3,7.7,37.05,175.63308179999365,0.22157147405607602,2885.860447477475
2023-03-23,4,5.5,8.51,51.13,254.8724822952945,2.3020123169253095,4254.414320073169
2023-03-28,4,7.8,8.12,47.36,234.2293115249652,0.9246530158887328,3869.8749876062802
2023-04-07,4,7.3,8.6,57.01,284.0365057488516,3.3357136320279324,4767.116240516696
2023-04-27,4,10.2,8.34,57.01,283.85070303076935,1.994494640435787,4719.107348896143
2023-05-04,4,14.9,8.7,41.12,204.04605309119546,3.730707684891099,3470.665325643184
2023-05-17,4,15.5,8.74,45.87,227.2628995443296,4.626599961560928,3881.36672697625
2022-06-06,5,20.7,8.55,45.32,225.3237648362995,3.355580017187546,3807.196671611288
2022-06-09,5,20.7,8.47,45.32,225.58619059819722,2.794300515800041,3792.3586544621826
2022-06-13,5,20.8,8.63,44.77,222.16198992036144,3.986681045065281,3776.9567123441175
2022-06-17,5,24.8,8.71,42.745,211.1909631205386,4.966070920762124,3631.798404841157
2022-06-20,5,24.5,8.68,40.72,201.4605223483916,4.393862232084285,3452.8069772628323
2022-06-23,5,26.9,8.73,38.595,190.33604722342727,4.887386187192701,3288.5527158274617
2022-06-28,5,24.8,8.81,36.47,179.26601527585828,5.306834596971075,3121.266703889148
2022-07-01,5,25.4,8.92,36.3,177.00002444666464,6.833039506182352,3137.240148986711
2022-07-05,5,26.3,8.86,36.3,177.69598103649156,6.083109601870486,3123.0655489705528
2022-07-07,5,26.5,8.87,36.13,176.71482176866698,6.214871623561186,3111.691268009045
2022-07-11,5,25.1,8.76,35.37,174.3140759943841,4.627339883257018,3016.896690186903
2022-07-13,5,25.7,8.87,34.61,169.36753978192527,5.862634442990473,2979.0448471672776
2022-07-18,5,26.2,8.81,33.585,164.9571025603096,5.022966011637723,2878.0225337630495
2022-07-21,5,25.9,8.88,32.56,159.19938276798564,5.661625757494178,2806.0093992216416
2022-07-25,5,26.1,8.88,31.915,156.02511935288535,5.570866653075697,2751.087449584447
2022-07-28,5,25.9,9.04,31.27,150.68693104986406,7.745962083305792,2739.6311573707067
2022-08-02,5,25.7,8.94,31.27,152.1860524215622,6.189242343052762,2709.7300206798736
2022-08-04,5,25.8,8.87,31.27,153.013055528707,5.307142898693671,2692.560420197667
2022-08-12,5,25.1,8.8,31.27,153.77071934006526,4.475819746151496,2675.731359520924
2022-08-16,5,23.4,8.69,31.27,154.712968319157,3.374290901244119,2652.407733224372
2022-08-18,5,24.5,8.86,34.21,167.65460981829028,5.534418281548591,2939.175407047474
2022-09-09,5,22.9,8.91,33.675,164.62474316262902,5.895440982482064,2901.489830739888
2022-09-23,5,19.6,8.61,33.14,164.59836090928414,2.7443665937511823,2791.737998593881
2022-10-19,5,6.7,8.4,37.6,187.2957330973455,1.3627872693398064,3115.522460485562
2022-10-28,5,12,8.53,38.87,193.63287797782695,2.2159471661862598,3248.4555254770444
2023-01-23,5,1.6,8.44,31.82,158.49835681156668,1.0733458361119905,2633.743643998317
2023-02-10,5,1.9,8.55,53.5,266.7333913128668,2.3505922134905437,4450.280816323269
2023-02-17,5,3.1,7.74,30.99,147.93275623367975,0.210113512499269,2431.517134521437
2023-03-23,5,5.1,8.53,50.29,250.69502468052167,2.3413857501354887,4187.268412652725
2023-03-28,5,5.8,8.71,48.13,239.50398247026504,3.4606870789761834,4041.556194080853
2023-04-07,5,7.4,8.35,47.04,234.17475175065906,1.5511882593839745,3890.0671617945695
2023-04-27,5,10.2,8.35,47.04,234.24148982950422,1.6842506398450745,3895.7449049497804
2023-05-04,5,11.8,8.18,46.18,229.19238490958057,1.1651838253541127,3795.546295032212
2023-05-17,5,17.5,7.97,44.59,219.81379371258572,0.798727128015991,3629.6250564263964
2022-06-06,6,20.7,8.58,40.735,202.40218576326652,3.2298012523130932,3427.530179918023
2022-06-09,6,20.4,8.53,40.735,202.61323916584485,2.8620108898834964,3418.3737305756213
2022-06-13,6,20.7,8.91,36.88,180.57617967338874,6.160572333087355,3170.635879252544
2022-06-17,6,24.5,8.92,35.785,174.6035070336856,6.61773607033582,3090.210804438743
2022-06-20,6,25.8,9,34.69,167.88351510150804,7.8548943410602865,3023.965958521689
2022-06-23,6,27.3,9.06,31.5,151.24106836465975,8.36733953094503,2771.3647011905955
2022-06-28,6,24.6,9.42,28.31,128.07883686104708,15.382600296727333,2637.564355209559
2022-07-01,6,25.2,9.11,26.26,125.5917202422584,7.47898548766786,2320.8071801254373
2022-07-05,6,26.2,9.82,26.26,101.28939983395485,31.56117894535579,2785.168489093093
2022-07-07,6,25.9,9.64,24.21,101.77107548613422,20.826876553269056,2409.358881213692
2022-07-11,6,24.7,9.09,23.21,111.34213834333663,6.267663036011096,2045.8311387416688
2022-07-13,6,26.6,9.75,22.21,88.69631205144796,23.709210083253563,2308.0910254434316
2022-07-18,6,26.8,9.87,23.13,86.40635678262844,30.567183726285496,2520.8641760253367
2022-07-21,6,25.4,9.45,24.05,107.76741220272017,14.097044142870223,2265.430369520953
2022-07-25,6,25.4,9.65,24.05,100.87215381524345,20.912786284968764,2396.7878348128097
2022-07-28,6,25.7,9.58,24.05,103.45214087419947,18.36547302648527,2348.1482824497084
2022-08-02,6,25.7,9.39,24.05,109.34394127372282,12.533066960260806,2235.938319598652
2022-08-04,6,26,9.7,24.05,98.5512367735726,23.20209348073235,2443.175617961474
2022-08-12,6,25,8.96,24.05,116.90786872371622,4.908601295619722,2088.8124184607923
2022-08-16,6,23.1,9.3,24.05,112.00324575200327,9.888088304924464,2182.6006706937274
2022-08-18,6,25.6,9.36,27.48,125.83160471482663,13.433232723563895,2534.2183853583224
2022-09-09,6,24,8.98,29.84,144.91209038251702,6.240918850539709,2591.8932873098647
2022-09-23,6,18.7,8.67,32.2,159.70888538472792,2.9935288077443944,2720.091106350946
2022-10-19,6,5.7,8.56,38.34,191.1075781679484,1.9488356394846889,3197.7006059162995
2022-10-28,6,11.2,8.7,37.139,184.53442444593716,3.0552956920358048,3127.766270885017
2023-01-23,6,1.3,8.09,49.65,244.29151085071553,0.7314979327625917,4028.1880147997886
2023-02-10,6,1.6,8.2,46.35,229.36152626668064,0.8937899800252788,3788.9657522345096
2023-02-17,6,3.1,7.15,40.95,167.1164632679638,0.06101110208316832,2740.8308507347992
2023-03-23,6,5.8,8.47,49.81,248.2549950966814,2.0641801045175607,4137.995445140951
2023-03-28,6,6.4,8.35,48.53,241.5590512296667,1.552138870151968,4011.073361072648
2023-04-07,6,8.2,8.3,44.47,221.20603508273302,1.3375368225511242,3670.382259067145
2023-04-27,6,10.7,8.52,44.47,221.58156680363598,2.390147662235873,3712.1559892301366
2023-05-04,6,12.1,8.37,46.15,229.8809693862519,1.8250408213738736,3829.132474236015
2023-05-17,6,18.2,7.92,43.53,214.05277945068607,0.7050233092055679,3532.0552546654076
2022-06-06,7,20.8,8.68,44.02,218.09524560221305,4.391247673598814,3724.1707846728655
2022-06-09,7,20.5,8.63,44.02,218.46113945305572,3.8937284567969135,3713.1323939265235
2022-06-13,7,21.2,8.62,44.51,220.90607341126278,3.9088688222031718,3753.8078692445383
2022-06-17,7,24.2,8.74,39.36,194.25247626091425,4.834172303602836,3349.9191437106056
2022-06-20,7,26.1,8.96,34.21,166.14934469082118,7.13225516768018,2970.739208857885
2022-06-23,7,27.1,8.9,35.425,172.8023372897945,6.588560449014509,3061.041151095579
2022-06-28,7,24.9,8.9,36.64,179.00171232299434,6.532570151702819,3159.3301463120106
2022-07-01,7,25.5,8.95,33.21,161.51299948094578,6.694594503542604,2879.5035683424853
2022-07-05,7,25.8,9.03,33.21,160.22434455346706,8.032686126407702,2905.136059269567
2022-07-07,7,25.9,9.21,29.78,140.26243965869637,10.664516422671738,2671.7517481922337
2022-07-11,7,25.1,9.11,29.78,142.4427507632365,8.465240359508506,2629.7455908648326
2022-07-13,7,26.3,9.2,29.78,140.40984158762015,10.515879121717605,2669.340919244157
2022-07-18,7,26.6,9.17,31.19,147.68388788099927,10.383520851549003,2783.3385030584514
2022-07-21,7,25.8,9.03,31.19,150.4786903529852,7.544097569486788,2729.1322219086455
2022-07-25,7,25.5,8.94,30.33,147.63379298400312,5.980019109179197,2628.0104319998595
2022-07-28,7,26.1,9.18,29.47,139.41991846042893,9.932373991830667,2632.6193771024323
2022-08-02,7,25.7,9.04,29.47,142.04035790024076,7.27234366713089,2581.960007256529
2022-08-04,7,26.5,9.06,29.47,141.60829878714262,7.713436179198399,2590.8960697401344
2022-08-12,7,25.3,9.1,30.76,147.28267213317764,8.588432171803642,2713.070378838742
2022-08-16,7,23.4,8.81,30.76,151.3161424627163,4.350518937851296,2630.669115183012
2022-08-18,7,25.1,9.06,30.76,148.01641560187696,7.839869344070508,2698.819726098703
2022-09-09,7,24.1,8.96,31.565,153.54967114838198,6.328484692209411,2736.0349413640306
2022-09-23,7,19,8.68,32.37,160.48353350591418,3.0999868812081215,2736.4747231505935
2022-10-19,7,6.5,8.42,38.48,191.717453681199,1.451785786663873,3190.9709690298423
2022-10-28,7,10.5,8.61,37.331,185.85327055834696,2.4525036538304614,3128.9046641198192
2023-01-23,7,0.7,8.32,47.86,237.74412147462385,1.184454133531799,3936.0796702358907
2023-02-10,7,1.3,7.65,55.09,258.5733133534571,0.2811178535660742,4247.123720968218
2023-02-17,7,1.7,7.48,45.14,204.8223696859866,0.15260078150318399,3361.896418534284
2023-03-23,7,5.5,8.41,49.3,245.5802350763208,1.7618872185419365,4083.9935193498245
2023-03-28,7,6.7,8.69,48.47,241.2234252304724,3.422312505499238,4068.4959042060086
2023-04-07,7,7.5,8.25,47.86,237.7520648595491,1.2547463792361462,3938.711258645435
2023-04-27,7,10.8,8.43,47.25,235.44660122792243,2.0701677778170917,3928.5370087309893
2023-05-04,7,12.4,8.14,46.03,228.19018081356901,1.075522019765269,3776.112150209233
2023-05-17,7,18.2,8.14,42.44,210.65991052697774,1.1515014777066985,3491.6593672809527
2022-06-06,8,21,8.68,42.2,209.06236869240843,4.228370317138815,3570.7600146198083
2022-06-09,8,20.5,8.52,42.2,209.92914087938826,2.9044519432437608,3539.651677168078
2022-06-13,8,20.4,8.7,41.96,207.77219228322437,4.34101098141749,3553.363076992472
2022-06-17,8,25.2,8.77,38.775,190.9853732941931,5.198544780189466,3309.3401047429406
2022-06-20,8,26.2,8.83,35.59,174.58465857709413,5.5666677083161575,3054.2652397452935
2022-06-23,8,27.9,8.86,35.145,171.8699087343023,6.068710256245084,3028.1326386786204
2022-06-28,8,23.6,8.92,34.7,169.42097922226824,6.301751012999441,2994.2000354857887
2022-07-01,8,25.2,8.85,32.945,161.4935285046332,5.284900377390028,2830.1054475132228
2022-07-05,8,26.2,8.81,32.945,161.813659188608,4.927247737186386,2823.314996981575
2022-07-07,8,25.9,9.06,31.19,149.96399402639216,8.072104533927952,2739.2130893119374
2022-07-11,8,23.9,8.62,30.64,151.93917199485912,2.8503915922060283,2588.982324917126
2022-07-13,8,26.9,9.18,30.09,142.2029227668822,10.291155344812863,2691.2213858605046
2022-07-18,8,25.6,8.87,31.36,153.47322320329386,5.301800939291956,2699.803831848354
2022-07-21,8,25.3,8.77,32.63,160.71030765459886,4.383348165624005,2786.0439220240332
2022-07-25,8,24.8,8.62,32.19,159.579395690448,3.050102279183651,2721.13090724213
2022-07-28,8,25.5,8.96,31.75,154.27589203431168,6.543571621598296,2756.080754363074
2022-08-02,8,24.9,8.72,32.295,159.48265186223057,3.8453895806929252,2747.167778473881
2022-08-04,8,26.6,8.87,32.295,157.94736967325719,5.565752888139957,2782.5438858072907
2022-08-12,8,24.3,8.7,32.295,159.6617969795292,3.631274550280261,2742.503647607851
2022-08-16,8,22.2,8.65,32.84,162.7864846134165,3.1554190559043604,2776.684898361411
2022-08-18,8,25.6,8.99,32.84,159.1140116633288,7.246015006478945,2859.5476705030205
2022-09-09,8,23.3,8.91,32.6575,159.6049605043512,5.764740001159749,2815.086902137669
2022-09-23,8,18.8,8.37,32.475,161.7463956614432,1.5230575423860548,2703.0486870071027
2022-10-19,8,7,8.36,39,194.17070690762833,1.3003282069585413,3226.079259332158
2022-10-28,8,12.8,8.51,38.315,190.87424068862884,2.1319245932053095,3200.472406054941
2023-01-23,8,3,7.97,40.55,198.175381212644,0.4764460615588268,3263.8778180394493
2023-02-10,8,1.6,8.75,51.87,258.2423256274345,3.570609333141669,4352.048063057942
2023-02-17,8,3.5,7.29,23.17,100.11770592401399,0.051118181902252285,1642.4976696148185
2023-03-23,8,6.7,8.44,54.93,273.72539577724683,2.1838121439525144,4559.421404527926
2023-03-28,8,8.1,8.83,48.13,238.49862741025407,4.871983057785318,4072.760982393676
2023-04-07,8,9.1,8.55,46.38,231.10436157799808,2.551525846396339,3873.528826031495
2023-04-27,8,11.7,8.54,46.43,231.28507043124387,2.686241674527613,3881.2019347483506
2023-05-04,8,12,8.51,46.48,231.57330659101294,2.530863939768585,3880.6975999484475
2023-05-17,8,18.2,8.23,39.94,198.65523338577603,1.3359266540231731,3301.252302284017
